rxn_id	fva_lb	fva_ub	rxn_name	lb	ub	rxn_formula	fva_pct	fva_req	fva_on
E1	-1	0	glucose exchange	-1	1000	glucose[c] <==> 	0	FALSE	TRUE
E2	0	2	lactate exchange	0	1000	lactate[c] --> 	0	FALSE	TRUE
E3	-6	0	O2 exchange	-1000	1000	O2[c] <==> 	0	FALSE	TRUE
E4	0	6	H2O exchange	-1000	1000	H2O[c] <==> 	0	FALSE	TRUE
E5	0	6	CO2 exchange	-1000	1000	CO2[c] <==> 	0	FALSE	TRUE
R1	0	1	glycolysis	0	1000	glucose[c] + 2 ADP[c] + 2 Pi[c] --> 2 H2O[c] + 2 ATP[c] + 2 pyruvate[c]	0	FALSE	TRUE
R2	0	2	respiration	0	1000	3 O2[c] + ADP[c] + Pi[c] + pyruvate[c] + 56 H[m] --> 4 H2O[c] + 3 CO2[c] + ATP[c] + 56 H[c]	0	FALSE	TRUE
R3	0	28	ATP synthase	0	1000	ADP[c] + Pi[c] + 4 H[c] --> H2O[c] + ATP[c] + 4 H[m]	0	FALSE	TRUE
R4	0	32	ATP demand	0	1000	H2O[c] + ATP[c] --> ADP[c] + Pi[c]	0	FALSE	TRUE
R5	0	2	lactate fermentation	0	1000	pyruvate[c] --> lactate[c]	0	FALSE	TRUE
E1	-1	-0.05	glucose exchange	-1	1000	glucose[c] <==> 	5	TRUE	TRUE
E2	0	2	lactate exchange	0	1000	lactate[c] --> 	5	FALSE	TRUE
E3	-6	0	O2 exchange	-1000	1000	O2[c] <==> 	5	FALSE	TRUE
E4	0	6	H2O exchange	-1000	1000	H2O[c] <==> 	5	FALSE	TRUE
E5	0	6	CO2 exchange	-1000	1000	CO2[c] <==> 	5	FALSE	TRUE
R1	0.05	1	glycolysis	0	1000	glucose[c] + 2 ADP[c] + 2 Pi[c] --> 2 H2O[c] + 2 ATP[c] + 2 pyruvate[c]	5	TRUE	TRUE
R2	0	2	respiration	0	1000	3 O2[c] + ADP[c] + Pi[c] + pyruvate[c] + 56 H[m] --> 4 H2O[c] + 3 CO2[c] + ATP[c] + 56 H[c]	5	FALSE	TRUE
R3	0	28	ATP synthase	0	1000	ADP[c] + Pi[c] + 4 H[c] --> H2O[c] + ATP[c] + 4 H[m]	5	FALSE	TRUE
R4	1.6	32	ATP demand	0	1000	H2O[c] + ATP[c] --> ADP[c] + Pi[c]	5	TRUE	TRUE
R5	0	2	lactate fermentation	0	1000	pyruvate[c] --> lactate[c]	5	FALSE	TRUE
E1	-1	-0.1	glucose exchange	-1	1000	glucose[c] <==> 	10	TRUE	TRUE
E2	0	1.92	lactate exchange	0	1000	lactate[c] --> 	10	FALSE	TRUE
E3	-6	-0.24	O2 exchange	-1000	1000	O2[c] <==> 	10	TRUE	TRUE
E4	0.24	6	H2O exchange	-1000	1000	H2O[c] <==> 	10	TRUE	TRUE
E5	0.24	6	CO2 exchange	-1000	1000	CO2[c] <==> 	10	TRUE	TRUE
R1	0.1	1	glycolysis	0	1000	glucose[c] + 2 ADP[c] + 2 Pi[c] --> 2 H2O[c] + 2 ATP[c] + 2 pyruvate[c]	10	TRUE	TRUE
R2	0.08	2	respiration	0	1000	3 O2[c] + ADP[c] + Pi[c] + pyruvate[c] + 56 H[m] --> 4 H2O[c] + 3 CO2[c] + ATP[c] + 56 H[c]	10	TRUE	TRUE
R3	1.12	28	ATP synthase	0	1000	ADP[c] + Pi[c] + 4 H[c] --> H2O[c] + ATP[c] + 4 H[m]	10	TRUE	TRUE
R4	3.2	32	ATP demand	0	1000	H2O[c] + ATP[c] --> ADP[c] + Pi[c]	10	TRUE	TRUE
R5	0	1.92	lactate fermentation	0	1000	pyruvate[c] --> lactate[c]	10	FALSE	TRUE
E1	-1	-0.15	glucose exchange	-1	1000	glucose[c] <==> 	15	TRUE	TRUE
E2	0	1.813333333	lactate exchange	0	1000	lactate[c] --> 	15	FALSE	TRUE
E3	-6	-0.56	O2 exchange	-1000	1000	O2[c] <==> 	15	TRUE	TRUE
E4	0.56	6	H2O exchange	-1000	1000	H2O[c] <==> 	15	TRUE	TRUE
